Country,City,PM2.5,Latitude,Longitude,sensorType,Date
Australia,Ti Tree Bend,18.0,-41.419,147.124,reference grade,2024-06-30T21:52:05+00:00
Australia,Ti Tree Bend,18.0,-41.419,147.124,reference grade,2024-06-30T21:42:06+00:00
Australia,Ti Tree Bend,12.0,-41.419,147.124,reference grade,2024-06-30T21:02:06+00:00
Australia,Ti Tree Bend,9.0,-41.419,147.124,reference grade,2024-06-30T20:42:05+00:00
Australia,Ti Tree Bend,8.0,-41.419,147.124,reference grade,2024-06-30T20:02:06+00:00
Australia,Ti Tree Bend,7.0,-41.419,147.124,reference grade,2024-06-30T19:42:06+00:00
Australia,Ti Tree Bend,9.0,-41.419,147.124,reference grade,2024-06-30T19:22:06+00:00
Australia,Ti Tree Bend,8.0,-41.419,147.124,reference grade,2024-06-30T19:02:06+00:00
Australia,Ti Tree Bend,23.0,-41.419,147.124,reference grade,2024-06-30T18:42:06+00:00
Australia,Ti Tree Bend,19.0,-41.419,147.124,reference grade,2024-06-30T18:22:05+00:00
Australia,Ti Tree Bend,24.0,-41.419,147.124,reference grade,2024-06-30T18:02:06+00:00
Australia,Ti Tree Bend,35.0,-41.419,147.124,reference grade,2024-06-30T17:42:06+00:00
Australia,Ti Tree Bend,41.0,-41.419,147.124,reference grade,2024-06-30T17:02:05+00:00
Australia,Ti Tree Bend,38.0,-41.419,147.124,reference grade,2024-06-30T16:42:06+00:00
Australia,Ti Tree Bend,62.0,-41.419,147.124,reference grade,2024-06-30T16:22:06+00:00
Australia,Ti Tree Bend,41.0,-41.419,147.124,reference grade,2024-06-30T16:02:06+00:00
Australia,Ti Tree Bend,68.0,-41.419,147.124,reference grade,2024-06-30T15:42:06+00:00
Australia,Ti Tree Bend,55.0,-41.419,147.124,reference grade,2024-06-30T15:22:06+00:00
Australia,Ti Tree Bend,28.0,-41.419,147.124,reference grade,2024-06-30T14:42:05+00:00
Australia,Ti Tree Bend,26.0,-41.419,147.124,reference grade,2024-06-30T14:22:06+00:00
Australia,Ti Tree Bend,28.0,-41.419,147.124,reference grade,2024-06-30T14:02:06+00:00
Australia,Ti Tree Bend,25.0,-41.419,147.124,reference grade,2024-06-30T13:42:05+00:00
Australia,Ti Tree Bend,36.0,-41.419,147.124,reference grade,2024-06-30T13:22:06+00:00
Australia,Ti Tree Bend,69.0,-41.419,147.124,reference grade,2024-06-30T13:02:06+00:00
Australia,Ti Tree Bend,48.0,-41.419,147.124,reference grade,2024-06-30T12:42:06+00:00
Australia,Ti Tree Bend,63.0,-41.419,147.124,reference grade,2024-06-30T12:22:06+00:00
Australia,Ti Tree Bend,53.0,-41.419,147.124,reference grade,2024-06-30T11:42:05+00:00
Australia,Ti Tree Bend,25.0,-41.419,147.124,reference grade,2024-06-30T11:22:06+00:00
Australia,Ti Tree Bend,35.0,-41.419,147.124,reference grade,2024-06-30T11:02:06+00:00
Australia,Ti Tree Bend,18.0,-41.419,147.124,reference grade,2024-06-30T10:42:06+00:00
Australia,Ti Tree Bend,17.0,-41.419,147.124,reference grade,2024-06-30T10:22:06+00:00
Australia,Ti Tree Bend,21.0,-41.419,147.124,reference grade,2024-06-30T10:02:06+00:00
